date,high,low,close
2001-07-02,115.4000,112.9600,114.3500
2001-07-03,114.1900,112.7600,112.9800
2001-07-05,113.2600,111.7900,112.1000
2001-07-06,110.9000,105.8100,106.5000
2001-07-09,106.9500,103.6500,104.7200
2001-07-10,105.4000,101.6000,101.9600
2001-07-11,104.1300,101.5600,103.8500
2001-07-12,107.8000,105.6200,107.2500
2001-07-13,109.3000,106.1100,108.5300
2001-07-16,109.3800,107.2800,107.8200
2001-07-17,108.5800,104.7500,108.5300
2001-07-18,107.6000,103.2000,104.2800
2001-07-19,106.0000,103.1000,104.0000
2001-07-20,105.7000,103.0300,105.7000
2001-07-23,106.9500,105.3000,105.8500
2001-07-24,106.1500,103.7900,104.5100
2001-07-25,105.7000,102.7300,104.8900
2001-07-26,106.0000,102.9300,106.0000
2001-07-27,105.9500,104.1100,104.7000
2001-07-30,106.2500,104.7600,105.8500
2001-07-31,107.0000,105.1500,105.2100
2001-08-01,108.5000,105.3100,107.0600
2001-08-02,109.4700,107.2100,108.8000
2001-08-03,110.0900,107.1000,108.1800
2001-08-06,107.3700,105.7900,106.5100
2001-08-07,107.3700,105.2600,106.2500
2001-08-08,106.1000,104.1000,104.1900
2001-08-09,104.5400,102.7000,104.0800
2001-08-10,104.9500,102.8100,104.9500
2001-08-13,106.6400,104.6500,105.8600
2001-08-14,106.8500,105.4000,106.2000
2001-08-15,106.5900,105.0100,105.0100
2001-08-16,106.0200,103.6600,105.7500
2001-08-17,105.4900,103.9000,104.5900
2001-08-20,105.0000,102.8000,104.1000
2001-08-21,104.9700,101.4000,101.8900
2001-08-22,104.0400,101.7600,103.9600
2001-08-23,104.7000,103.0000,103.0000
2001-08-24,107.8000,103.4100,106.9900
2001-08-27,108.2000,106.6400,106.8600
2001-08-28,107.1700,104.8700,104.9500
2001-08-29,105.9000,103.8200,104.1300
2001-08-30,103.4000,98.8600,100.3600
2001-08-31,101.3600,99.2400,99.9500
2001-09-04,103.1300,99.2900,101.4900
2001-09-05,102.8300,99.6100,100.3500
2001-09-06,100.6800,97.6500,98.0000
2001-09-07,98.1500,96.0000,96.5900
2001-09-10,97.4000,95.5900,96.4700
2001-09-17,95.8600,92.5500,93.3400
2001-09-18,96.7500,93.6800,96.4000
2001-09-19,96.8500,92.4500,96.0000
2001-09-20,95.7500,92.8500,93.4000
2001-09-21,93.5000,89.5000,90.5000
2001-09-24,95.5400,91.8000,94.8000
2001-09-25,96.0000,93.4100,94.4500
2001-09-26,94.4500,90.3000,91.3000
2001-09-27,91.5000,87.4900,90.0000
2001-09-28,92.7100,89.9000,91.7200
2001-10-01,93.4800,91.3400,92.7100
2001-10-02,93.9000,92.1000,93.7700
2001-10-03,97.6200,92.4000,96.9500
2001-10-04,98.8800,96.8000,97.3100
2001-10-05,98.4500,95.3700,98.0200
2001-10-08,99.0000,96.7500,98.5000
2001-10-09,98.5000,96.7600,97.1400
2001-10-10,97.3000,94.9000,97.2500
2001-10-11,99.4000,96.5000,99.4000
2001-10-12,101.0000,98.0000,100.8400
2001-10-15,102.7600,99.8500,102.0000
2001-10-16,103.0000,99.6600,101.8500
2001-10-17,106.7000,102.9000,102.9000
2001-10-18,103.7500,100.7800,101.2600
2001-10-19,102.7400,100.0700,102.6500
2001-10-22,105.7800,101.9000,105.2500
2001-10-23,106.6900,104.5500,105.8100
2001-10-24,108.7500,106.0900,108.5700
2001-10-25,110.8500,106.7500,110.6600
2001-10-26,112.1000,109.6200,111.1600
2001-10-29,110.7000,108.6200,108.6200
2001-10-30,109.7500,107.7600,108.6500
2001-10-31,111.1200,108.0700,108.0700
2001-11-01,110.1700,106.9000,109.8900
2001-11-02,110.3000,108.7700,109.5000
2001-11-05,110.5900,109.0800,109.9700
2001-11-06,114.8000,109.0000,113.6100
2001-11-07,115.2000,113.0300,113.8500
2001-11-08,115.5600,113.6100,113.8100
2001-11-09,114.9000,113.1000,114.0800
2001-11-12,114.9000,112.0500,114.8600
2001-11-13,117.0000,115.7000,116.7000
2001-11-14,116.8500,113.3300,114.3500
2001-11-15,116.3300,113.8400,114.7500
2001-11-16,115.0000,112.5500,114.5000
2001-11-19,115.8000,113.7700,115.0000
2001-11-20,116.8000,114.2500,115.4400
2001-11-21,115.2500,113.0500,114.3400
2001-11-23,115.3700,113.7200,115.3500
2001-11-26,116.4000,115.2000,116.3300
2001-11-27,116.3000,114.0700,114.2000
2001-11-28,114.3800,112.1000,112.1500
2001-11-29,114.5500,111.8100,114.4300
2001-11-30,115.9400,113.8000,115.5900
2001-12-03,114.8500,113.2100,114.1300
2001-12-04,116.7200,113.3800,116.6400
2001-12-05,121.9800,116.6500,121.4000
2001-12-06,121.7000,119.8000,120.1400
2001-12-07,121.0000,118.7500,120.4000
2001-12-10,121.0000,119.4100,119.6600
2001-12-11,122.7400,119.8000,121.5000
2001-12-12,123.2100,120.0600,123.2000
2001-12-13,122.3000,120.1200,120.2500
2001-12-14,121.4800,119.4100,121.1000
2001-12-17,122.1400,120.1500,121.3400
